[INFO] | [2023-06-06 14:05:25] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:25] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:25] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:25] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:26] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:26] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:26] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:26] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:26] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:26] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:27] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:27] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:27] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:27] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:27] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:27] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:28] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:28] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:28] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:28] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:28] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:28] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:29] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:29] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:29] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:29] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:29] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:29] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:30] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:30] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:30] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:30] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:30] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:30] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:31] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:31] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:31] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:31] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:31] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:31] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:32] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:32] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:32] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:32] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:32] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:32] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:33] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:33] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:33] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:33] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:33] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:33] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:34] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:34] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:34] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:34] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:34] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:34] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:35] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:35] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:35] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:35] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:35] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:35] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:36] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:36] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:36] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:36] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:36] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:36] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:37] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:37] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:37] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:37] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:37] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:37] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:38] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:38] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:38] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:38] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:38] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:38] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:39] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:39] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:39] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:39] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:39] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:40] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:40] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:40] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:40] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:40] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:40] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:41] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:41] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:41] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:41] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:41] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:41] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:42] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:42] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:42] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:42] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:42] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:42] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:43] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:43] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:43] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:43] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:43] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:43] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:44] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:44] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:44] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:44] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:44] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:44] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:45] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:45] | [WS-Send]:{"type": "gameplay", "value": "Test-exchange"}
[INFO] | [2023-06-06 14:05:45] | [WS-Receive]:{'category': 'gameplay', 'value': 'Unknown message:Test-exchange'}
[INFO] | [2023-06-06 14:05:45] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
[INFO] | [2023-06-06 14:05:45] | [WS-Receive]:{'category': 'testexchange', 'action': 'randomhelloworld', 'receiver': 'server'}
